Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,AffinityPropagation,0.902439024,0.864864865,0.880733945,0.872727273,0.918118467,0.925581395,0.865217391,0.894382022,0.895470383,0.891891892,0.846153846,0.868421053,0.893728223,0.86036036,0.864253394,0.862302483,0.885017422,0.882882883,0.830508475,0.855895197
meanmode,AffinityPropagation,0.921602787,0.882352941,0.911214953,0.896551724,0.897212544,0.834080717,0.894230769,0.863109049,0.919860627,0.923076923,0.875536481,0.898678414,0.916376307,0.877828054,0.902325581,0.889908257,0.902439024,0.886877828,0.863436123,0.875
meanmode,AffinityPropagation,0.893728223,0.885321101,0.84279476,0.863534676,0.890243902,0.916666667,0.814814815,0.862745098,0.898954704,0.912844037,0.836134454,0.872807018,0.886759582,0.889908257,0.825531915,0.856512141,0.893728223,0.862385321,0.858447489,0.860411899
meanmode,AffinityPropagation,0.905923345,0.848101266,0.917808219,0.881578947,0.897212544,0.813559322,0.927536232,0.866817156,0.902439024,0.843881857,0.913242009,0.877192982,0.905923345,0.848101266,0.917808219,0.881578947,0.883275261,0.82278481,0.886363636,0.853391685
meanmode,AffinityPropagation,0.904181185,0.924778761,0.846153846,0.88372093,0.909407666,0.932432432,0.848360656,0.888412017,0.893728223,0.973451327,0.8,0.878243513,0.8728223,0.915929204,0.793103448,0.850102669,0.87804878,0.911504425,0.8046875,0.854771784
meanmode,AffinityPropagation,0.895470383,0.861751152,0.861751152,0.861751152,0.898954704,0.799043062,0.912568306,0.852040816,0.898954704,0.884792627,0.853333333,0.868778281,0.898954704,0.880184332,0.856502242,0.868181818,0.898954704,0.866359447,0.866359447,0.866359447
meanmode,AffinityPropagation,0.902439024,0.851351351,0.891509434,0.870967742,0.893728223,0.922018349,0.820408163,0.86825054,0.919860627,0.878378378,0.911214953,0.894495413,0.912891986,0.86036036,0.90952381,0.884259259,0.898954704,0.891891892,0.853448276,0.872246696
meanmode,AffinityPropagation,0.902439024,0.884773663,0.884773663,0.884773663,0.905923345,0.913242009,0.85106383,0.881057269,0.918118467,0.909465021,0.898373984,0.903885481,0.921602787,0.880658436,0.930434783,0.904862579,0.895470383,0.855967078,0.892703863,0.87394958
meanmode,AffinityPropagation,0.897212544,0.894067797,0.86122449,0.877338877,0.898954704,0.873303167,0.865470852,0.869369369,0.898954704,0.898305085,0.861788618,0.87966805,0.897212544,0.881355932,0.870292887,0.875789474,0.879790941,0.894067797,0.82745098,0.859470468
meanmode,AffinityPropagation,0.895470383,0.852534562,0.868544601,0.860465116,0.93902439,0.915422886,0.910891089,0.913151365,0.895470383,0.944700461,0.81027668,0.872340426,0.883275261,0.930875576,0.795275591,0.857749469,0.890243902,0.889400922,0.831896552,0.859688196
