Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,none,0.911149826,0.821256039,0.923913043,0.869565217,0.926829268,0.927536232,0.876712329,0.901408451,0.925087108,0.8647343,0.922680412,0.89276808,0.914634146,0.826086957,0.929347826,0.874680307,0.905923345,0.961352657,0.812244898,0.880530973
meanmode,none,0.926829268,0.901408451,0.901408451,0.901408451,0.923344948,0.938967136,0.865800866,0.900900901,0.932055749,0.920187793,0.899082569,0.909512761,0.926829268,0.910798122,0.894009217,0.902325581,0.905923345,0.9342723,0.832635983,0.880530973
meanmode,none,0.928571429,0.888412017,0.932432432,0.90989011,0.918118467,0.927038627,0.87804878,0.901878914,0.921602787,0.939914163,0.876,0.906832298,0.926829268,0.892703863,0.924444444,0.908296943,0.914634146,0.892703863,0.896551724,0.894623656
meanmode,none,0.921602787,0.85840708,0.937198068,0.896073903,0.919860627,0.85840708,0.932692308,0.894009217,0.932055749,0.884955752,0.938967136,0.911161731,0.919860627,0.871681416,0.920560748,0.895454545,0.925087108,0.876106195,0.929577465,0.902050114
meanmode,none,0.940766551,0.89380531,0.952830189,0.922374429,0.940766551,0.924778761,0.924778761,0.924778761,0.945993031,0.920353982,0.941176471,0.93064877,0.945993031,0.911504425,0.949308756,0.930022573,0.916376307,0.92920354,0.867768595,0.897435897
meanmode,none,0.923344948,0.88317757,0.908653846,0.895734597,0.923344948,0.925233645,0.876106195,0.9,0.928571429,0.897196262,0.909952607,0.903529412,0.926829268,0.892523364,0.90952381,0.900943396,0.912891986,0.869158879,0.894230769,0.881516588
meanmode,none,0.921602787,0.862068966,0.938967136,0.898876404,0.928571429,0.900862069,0.920704846,0.910675381,0.916376307,0.892241379,0.9,0.896103896,0.918118467,0.862068966,0.930232558,0.894854586,0.912891986,0.879310345,0.902654867,0.890829694
meanmode,none,0.930313589,0.904977376,0.913242009,0.909090909,0.928571429,0.945701357,0.878151261,0.910675381,0.932055749,0.918552036,0.90625,0.912359551,0.925087108,0.886877828,0.91588785,0.901149425,0.93554007,0.918552036,0.914414414,0.916478555
meanmode,SVD,0.911149826,0.821596244,0.930851064,0.872817955,0.902439024,0.845070423,0.886699507,0.865384615,0.918118467,0.835680751,0.936842105,0.88337469,0.905923345,0.802816901,0.93442623,0.863636364,0.902439024,0.830985915,0.898477157,0.863414634
meanmode,SVD,0.926829268,0.880184332,0.922705314,0.900943396,0.914634146,0.880184332,0.892523364,0.886310905,0.926829268,0.903225806,0.903225806,0.903225806,0.933797909,0.884792627,0.936585366,0.909952607,0.918118467,0.903225806,0.882882883,0.892938497
meanmode,SVD,0.940766551,0.921296296,0.921296296,0.921296296,0.897212544,0.902777778,0.836909871,0.868596882,0.919860627,0.861111111,0.920792079,0.889952153,0.932055749,0.907407407,0.911627907,0.909512761,0.902439024,0.944444444,0.822580645,0.879310345
meanmode,SVD,0.930313589,0.910447761,0.892682927,0.901477833,0.905923345,0.92039801,0.829596413,0.872641509,0.926829268,0.905472637,0.887804878,0.896551724,0.93902439,0.910447761,0.915,0.912718204,0.930313589,0.925373134,0.881516588,0.902912621
meanmode,SVD,0.905923345,0.938095238,0.827731092,0.879464286,0.914634146,0.89047619,0.877934272,0.884160757,0.923344948,0.928571429,0.870535714,0.898617512,0.918118467,0.942857143,0.849785408,0.893905192,0.918118467,0.914285714,0.868778281,0.890951276
