Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,Knn acc,Knn rec,Knn prec,Knn f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,AdaBoost acc,AdaBoost rec,AdaBoost prec,AdaBoost f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1,Linear SVM acc,Linear SVM rec,Linear SVM prec,Linear SVM f1,Decision Tree acc,Decision Tree rec,Decision Tree prec,Decision Tree f1
meanmode,none,0.900696864,0.948113208,0.813765182,0.875816993,0.930313589,0.923076923,0.898678414,0.910714286,0.904181185,0.872641509,0.868544601,0.870588235,0.897212544,0.966981132,0.79766537,0.874200426,0.907665505,0.952830189,0.824489796,0.884026258,0.921602787,0.924528302,0.871111111,0.897025172,0.907665505,0.910377358,0.850220264,0.879271071,0.898954704,0.83490566,0.885,0.859223301,0.890243902,0.929245283,0.804081633,0.86214442
meanmode,none,0.907665505,0.931818182,0.843621399,0.885529158,0.947735192,0.9342723,0.925581395,0.929906542,0.869337979,0.9,0.788844622,0.840764331,0.912891986,0.945454545,0.845528455,0.892703863,0.918118467,0.940909091,0.858921162,0.898047722,0.907665505,0.822727273,0.928205128,0.872289157,0.907665505,0.927272727,0.846473029,0.885032538,0.907665505,0.940909091,0.83805668,0.886509636,0.886759582,0.9,0.821576763,0.859002169
meanmode,none,0.93728223,0.881057269,0.956937799,0.917431193,0.928571429,0.918181818,0.897777778,0.907865169,0.911149826,0.832599119,0.935643564,0.881118881,0.940766551,0.898678414,0.948837209,0.923076923,0.932055749,0.863436123,0.960784314,0.909512761,0.932055749,0.964757709,0.876,0.918238994,0.940766551,0.920704846,0.928888889,0.924778761,0.860627178,0.68722467,0.945454545,0.795918367,0.855400697,0.854625551,0.795081967,0.823779193
meanmode,none,0.923344948,0.880733945,0.914285714,0.897196262,0.930313589,0.92,0.903930131,0.911894273,0.919860627,0.880733945,0.905660377,0.893023256,0.93554007,0.922018349,0.909502262,0.91571754,0.932055749,0.889908257,0.928229665,0.908665105,0.898954704,0.825688073,0.9,0.861244019,0.926829268,0.908256881,0.9,0.904109589,0.911149826,0.899082569,0.871111111,0.884875847,0.841463415,0.788990826,0.792626728,0.790804598
meanmode,none,0.912891986,0.938679245,0.843220339,0.888392857,0.93554007,0.912820513,0.898989899,0.905852417,0.895470383,0.891509434,0.836283186,0.863013699,0.912891986,0.952830189,0.834710744,0.889867841,0.911149826,0.948113208,0.834024896,0.887417219,0.909407666,0.905660377,0.857142857,0.880733945,0.909407666,0.948113208,0.830578512,0.885462555,0.837979094,0.981132075,0.7003367,0.817288802,0.832752613,0.820754717,0.75,0.783783784
meanmode,none,0.947735192,0.936936937,0.928571429,0.932735426,0.93728223,0.922727273,0.914414414,0.918552036,0.907665505,0.882882883,0.878923767,0.880898876,0.942508711,0.954954955,0.90212766,0.927789934,0.944250871,0.927927928,0.927927928,0.927927928,0.928571429,0.923423423,0.895196507,0.909090909,0.93728223,0.954954955,0.890756303,0.92173913,0.926829268,0.914414414,0.898230088,0.90625,0.881533101,0.918918919,0.803149606,0.857142857
meanmode,none,0.921602787,0.836909871,0.965346535,0.896551724,0.918118467,0.924778761,0.874476987,0.898924731,0.881533101,0.811158798,0.887323944,0.847533632,0.925087108,0.862660944,0.948113208,0.903370787,0.933797909,0.884120172,0.949308756,0.915555556,0.923344948,0.905579399,0.905579399,0.905579399,0.926829268,0.896995708,0.920704846,0.908695652,0.928571429,0.86695279,0.952830189,0.907865169,0.75261324,0.480686695,0.842105263,0.612021858
meanmode,none,0.944250871,0.937777778,0.92139738,0.929515419,0.932055749,0.943396226,0.881057269,0.911161731,0.905923345,0.866666667,0.890410959,0.878378378,0.945993031,0.964444444,0.904166667,0.933333333,0.93554007,0.92,0.915929204,0.917960089,0.911149826,0.902222222,0.875,0.888402626,0.925087108,0.928888889,0.88559322,0.906724512,0.925087108,0.968888889,0.858267717,0.910229645,0.881533101,0.862222222,0.83982684,0.850877193
meanmode,none,0.923344948,0.920187793,0.878923767,0.899082569,0.947735192,0.9375,0.92920354,0.933333333,0.904181185,0.906103286,0.846491228,0.875283447,0.928571429,0.938967136,0.877192982,0.907029478,0.930313589,0.924882629,0.891402715,0.907834101,0.891986063,0.938967136,0.803212851,0.865800866,0.93554007,0.943661972,0.889380531,0.91571754,0.907665505,0.9342723,0.836134454,0.88248337,0.898954704,0.920187793,0.827004219,0.871111111
meanmode,none,0.93728223,0.924778761,0.916666667,0.920704846,0.933797909,0.940366972,0.891304348,0.915178571,0.916376307,0.853982301,0.927884615,0.889400922,0.949477352,0.938053097,0.933920705,0.93598234,0.947735192,0.915929204,0.949541284,0.932432432,0.919860627,0.845132743,0.945544554,0.892523364,0.932055749,0.942477876,0.891213389,0.916129032,0.933797909,0.969026549,0.876,0.920168067,0.831010453,0.884955752,0.73800738,0.804828974
meanmode,none,0.93554007,0.925311203,0.921487603,0.923395445,0.926829268,0.886075949,0.933333333,0.909090909,0.909407666,0.858921162,0.92,0.888412017,0.93554007,0.912863071,0.93220339,0.922431866,0.940766551,0.917012448,0.940425532,0.928571429,0.905923345,0.892116183,0.884773663,0.888429752,0.923344948,0.933609959,0.889328063,0.910931174,0.93554007,0.89626556,0.947368421,0.921108742,0.881533101,0.825726141,0.884444444,0.854077253
meanmode,none,0.914634146,0.934579439,0.85106383,0.890868597,0.926829268,0.945945946,0.875,0.909090909,0.888501742,0.88317757,0.828947368,0.85520362,0.918118467,0.920560748,0.86784141,0.893424036,0.914634146,0.906542056,0.869955157,0.887871854,0.911149826,0.88317757,0.879069767,0.881118881,0.911149826,0.887850467,0.875576037,0.881670534,0.907665505,0.925233645,0.842553191,0.881959911,0.879790941,0.897196262,0.80334728,0.847682119
meanmode,none,0.93728223,0.886877828,0.946859903,0.91588785,0.928571429,0.866071429,0.946341463,0.904428904,0.907665505,0.846153846,0.90776699,0.87587822,0.933797909,0.886877828,0.937799043,0.911627907,0.928571429,0.850678733,0.959183673,0.901678657,0.904181185,0.823529412,0.919191919,0.868735084,0.930313589,0.891402715,0.924882629,0.907834101,0.871080139,0.687782805,0.968152866,0.804232804,0.831010453,0.800904977,0.769565217,0.784922395
meanmode,none,0.916376307,0.897777778,0.889867841,0.89380531,0.902439024,0.899122807,0.861344538,0.879828326,0.865853659,0.826666667,0.830357143,0.828507795,0.921602787,0.902222222,0.898230088,0.900221729,0.925087108,0.888888889,0.917431193,0.902934537,0.909407666,0.826666667,0.934673367,0.877358491,0.905923345,0.888888889,0.873362445,0.881057269,0.914634146,0.857777778,0.919047619,0.887356322,0.883275261,0.804444444,0.887254902,0.843822844
